,Car Name,Making Year,Registration year,Fule,km_driven,Engine_Displacement,No_Of_Owner,RTO,Transmission,Insurance_Type,Current_Price,Avg_market_price,New_Car_Road_Price,Mileage,Seats,Color,Engine,Max_Power,Torque
172,2017 Maruti Swift,2017,Mar-17,Diesel,61114,1248 cc,1st Owner,DL3C,Manual,Third Party insurance,468000,491400,659939,25.2 kmpl,5,Grey,1248 CC,74bhp,190Nm
173,2014 Toyota Etios,2014,Apr-14,Diesel,57513,1364 cc,1st Owner,DL10,Manual,Third Party insurance,438500,460425,869700,23.59 kmpl,15,5,1364 CC,67.04bhp,170Nm
174,2016 Renault KWID,2016,Jun-16,Petrol,35836,799 cc,1st Owner,DL8C,Manual,Third Party insurance,235500,247275,419592,25.17 kmpl,5,Red,799 CC,53.3bhp,72Nm
175,2016 Honda City,2016,Mar-16,Petrol,37257,1497 cc,2nd Owner,UP16,Manual,Third Party insurance,669693,703178,1126480,17.8 kmpl,15,5,1497 CC,117.3bhp,145Nm
176,2017 Maruti Swift Dzire,2017,Apr-17,Diesel,65177,1248 cc,1st Owner,HR29,Manual,Third Party insurance,601000,631050,824977,26.59 kmpl,5,White,1248 CC,74bhp,190Nm
177,2020 Maruti Baleno,2020,Feb-20,Petrol,12225,1197 cc,1st Owner,DL9C,Manual,Not Available,613500,644175,686396,21.01 kmpl,5,Other,1197 CC,81.80bhp,113Nm
178,2016 Hyundai i20,2016,Jun-16,Petrol,56771,1197 cc,1st Owner,DL12,Manual,Third Party insurance,522000,548100,748579,18.6 kmpl,5,Other,1197 CC,81.83bhp,114.7Nm
179,2020 Maruti S-Presso,2020,Mar-20,Petrol,19749,998 cc,1st Owner,HR26,Manual,Not Available,380000,399000,492654,21.7 kmpl,5,White,998 CC,67.05bhp,90nm
180,2013 Hyundai i10,2013,Jul-13,Petrol,44890,1197 cc,2nd Owner,DL3C,Manual,Third Party insurance,260000,273000,527676,20.36 kmpl,13,5,1197 CC,78.9bhp,111.7Nm
181,2018 Maruti Vitara Brezza,2018,Jul-18,Diesel,63545,1248 cc,1st Owner,6 2022,Automatic,Manual,680500,714525,813890,24.3 kmpl,5,Other,1248 CC,88.5bhp,200Nm
182,2014 Skoda Rapid,2014,Jul-14,Diesel,55970,1498 cc,1st Owner,DL09,Manual,Third Party insurance,413000,433650,1124056,21.14 kmpl,15,5,1498 CC,103.52bhp,250Nm
183,2018 Maruti Alto 800,2018,Jun-18,Petrol,30308,796 cc,1st Owner,DL2C,Manual,Third Party insurance,303500,318675,341819,24.7 kmpl,5,Other,796 CC,47.3bhp,69Nm
184,2015 Maruti Wagon R,2015,Nov-15,Petrol,24036,998 cc,1st Owner,HR51,Manual,Third Party insurance,376500,395325,489017,20.51 kmpl,5,Other,998 CC,67.04bhp,90Nm
185,2018 Maruti Ciaz,2018,Sep-18,Petrol,34473,1462 cc,1st Owner,DL12,Automatic,Third Party insurance,908000,953400,1271581,20.28 kmpl,16,5,1462 CC,103.25bhp,138Nm
186,2016 Maruti Alto K10,2016,Aug-16,Petrol,61562,998 cc,1st Owner,DL5C,Manual,Not Available,292000,306600,434696,23.95 kmpl,5,Grey,998 CC,67.05bhp,90Nm
187,2016 Hyundai EON,2016,Nov-16,Petrol,31339,814 cc,1st Owner,UP14,Manual,Third Party insurance,280000,294000,434372,22 kmpl,13,5,814 CC,55 Bhp,76.5 Nm
188,2016 Maruti Swift Dzire,2016,Jul-16,Diesel,78192,1248 cc,1st Owner,DL2C,Automatic,Third Party insurance,549500,576975,977856,26.59 kmpl,15,5,1248 CC,74bhp,190Nm
189,2016 Hyundai Xcent,2015,Aug-16,Diesel,82289,1120 cc,1st Owner,DL3C,Manual,Not Available,305000,320250,699617,24.4 kmpl,5,White,1120 CC,71bhp,180.4Nm
190,2018 Maruti Baleno,2018,May-18,Diesel,33507,1248 cc,1st Owner,HR87,Manual,Third Party insurance,631500,663075,800395,27.39 kmpl,5,Other,1248 CC,74bhp,190Nm
191,2015 Maruti Swift,2015,May-15,Diesel,53515,1248 cc,2nd Owner,DL9C,Manual,Not Available,430500,452025,737717,25.2 kmpl,5,Grey,1248 CC,74bhp,190Nm
192,2021 Renault KWID,2020,Jan-21,Petrol,2998,999 cc,1st Owner,HR29,Automatic,Third Party insurance,431500,453075,513874,24.04 kmpl,5,Blue,999 CC,67bhp,91Nm
193,2019 Tata Tiago,2018,Feb-19,Diesel,2998,1047 cc,1st Owner,DL3C,Manual,Third Party insurance,298500,313425,562524,27.28 kmpl,5,Other,1047 CC,69bhp,140Nm
194,2018 Maruti Alto K10,2018,Jul-18,Petrol,16023,998 cc,1st Owner,HR51,Manual,Third Party insurance,373500,392175,431144,23.95 kmpl,5,Other,998 CC,67.05bhp,90Nm
195,2017 Mahindra TUV 300,2017,Nov-17,Diesel,42009,1493 cc,2nd Owner,HR26,Automatic,Third Party insurance,576500,605325,1303130,18.49 kmpl,15,7,1493 CC,100bhp,240Nm
196,2020 Honda Amaze,2019,Jan-20,Petrol,33488,1199 cc,1st Owner,UP14,Manual,Third Party insurance,661000,694050,803799,18.6 kmpl,5,Red,1199 CC,88.76bhp,110Nm
197,2009 Hyundai i10,2009,Sep-09,Petrol,90903,1197 cc,1st Owner,UP16,Manual,Not Available,238500,250425,606002,20.36 kmpl,13,5,1197 CC,78.9bhp,111.8Nm
198,2016 Maruti Wagon R,2016,Jun-16,Petrol,39154,998 cc,1st Owner,DL8C,Manual,Third Party insurance,319000,334950,602602,21.79 kmpl,5,White,998 CC,67.05bhp,90Nm
199,2018 Maruti Swift,2018,Feb-18,Petrol,51207,1197 cc,1st Owner,DL2C,Manual,Third Party insurance,533000,559650,576923,22 kmpl,5,Other,1197 CC,81.80bhp,113Nm
200,2017 Maruti Swift Dzire,2017,Mar-17,Petrol,64481,1197 cc,1st Owner,DL2C,Manual,Third Party insurance,495500,520275,656611,20.85 kmpl,5,Other,1197 CC,83.14bhp,115Nm
201,2013 Maruti Alto 800,2013,Oct-13,Petrol,86950,796 cc,2nd Owner,9 2021,Automatic,Manual,222000,233100,359781,22.74 kmpl,5,Red,796 CC,47.3bhp,69Nm
202,2015 Maruti Wagon R,2015,Aug-15,Petrol,47043,998 cc,1st Owner,DL6C,Manual,Third Party insurance,315000,330750,602602,21.79 kmpl,5,Silver,998 CC,67.05bhp,90Nm
203,2011 Maruti Zen Estilo,2011,Apr-11,Petrol,17520,998 cc,1st Owner,DL09,Manual,Third Party insurance,245500,257775,403885,19 kmpl,13,5,998 CC,67.1bhp,90Nm
204,2016 Renault KWID,2016,May-16,Petrol,54728,799 cc,2nd Owner,DL14,Manual,Third Party insurance,249500,261975,419182,25.17 kmpl,5,Brown,799 CC,53.3bhp,72Nm
205,2018 Renault KWID,2018,May-18,Petrol,30165,999 cc,1st Owner,DL8C,Manual,Third Party insurance,313500,329175,483020,23.01 kmpl,5,Other,999 CC,67bhp,91Nm
206,2013 Honda Brio,2013,Mar-13,Petrol,55509,1198 cc,2nd Owner,DL3C,Manual,Third Party insurance,245000,257250,578637,19.4 kmpl,5,Silver,1198 CC,86.8bhp,109Nm
207,2017 Maruti Eeco,2017,Jul-17,CNG,20371,1196 cc,1st Owner,DL8C,Manual,Third Party insurance,342000,359100,482765,15.1 kmpl,13,5,1196 CC,73bhp,101Nm
208,2011 Hyundai i20,2011,May-11,Petrol,36527,1197 cc,1st Owner,HR51,Manual,Third Party insurance,211000,221550,551567,18.5 kmpl,14,5,1197 CC,80 PS at 5200 rpm,"11.4 kgm at 4,000 rpm"
209,2009 Honda CR-V,2008,Jun-09,Petrol,36527,2354 cc,1st Owner,HR70,Manual,Third Party insurance,375000,393750,1751180,10.8 kmpl,16,5,2354 CC,152 PS,215 Nm
210,2017 Renault KWID,2017,Mar-17,Petrol,68536,999 cc,1st Owner,HR51,Manual,Third Party insurance,262500,275625,435298,23.01 kmpl,5,Silver,999 CC,67bhp,91Nm
211,2012 Maruti Swift,2012,Mar-12,Petrol,97358,1197 cc,1st Owner,DL6C,Manual,Third Party insurance,322000,338100,548912,18.6 kmpl,14,5,1197 CC,85.8bhp,114Nm
212,2015 Maruti Ciaz,2014,Jan-15,Petrol,97358,1373 cc,1st Owner,HR26,Manual,Not Available,498500,523425,982858,20.73 kmpl,15,5,1373 CC,91.1bhp,130Nm
213,2014 Maruti Wagon R,2014,Dec-14,Petrol,34353,998 cc,2nd Owner,DL5C,Manual,Third Party insurance,261000,274050,477957,20.51 kmpl,5,White,998 CC,67.04bhp,90Nm
214,2016 Maruti Wagon R Stingray,2016,Dec-16,Petrol,62425,998 cc,1st Owner,11 2021,Automatic,Manual,275000,288750,520391,20.51 kmpl,14,5,998 CC,67.04bhp,90Nm
215,2018 Maruti Wagon R,2018,Mar-18,Petrol,18636,998 cc,1st Owner,DL1C,Manual,Third Party insurance,397000,416850,507140,20.51 kmpl,5,Other,998 CC,67.04bhp,90Nm
216,2015 Maruti Swift,2015,May-15,Petrol,62344,1197 cc,1st Owner,UP16,Manual,Not Available,376000,394800,573484,20.4 kmpl,5,Grey,1197 CC,83.11bhp,113Nm
217,2017 Hyundai Grand i10,2017,Oct-17,Petrol,21073,1197 cc,1st Owner,DL8C,Manual,Third Party insurance,433000,454650,648745,18.9 kmpl,5,Other,1197 CC,81.86bhp,113.75nm
218,2015 Maruti Swift Dzire,2015,Apr-15,Petrol,70138,1197 cc,1st Owner,DL9C,Manual,Third Party insurance,365000,383250,659651,20.85 kmpl,5,Other,1197 CC,83.14bhp,115Nm
219,2015 Skoda Rapid,2015,Jul-15,Diesel,51736,1498 cc,1st Owner,UP16,Automatic,Third Party insurance,531000,557550,1327581,21.66 kmpl,15,5,1498 CC,103.52bhp,250Nm
220,2017 Maruti Ciaz,2017,Sep-17,Petrol,43559,1373 cc,1st Owner,DL9C,Manual,Third Party insurance,625000,656250,864468,20.73 kmpl,5,Other,1373 CC,91.1bhp,130Nm
221,2018 Maruti Swift Dzire,2018,Apr-18,Petrol,57052,1197 cc,1st Owner,HR51,Manual,Third Party insurance,570000,598500,763121,21.21 kmpl,5,White,1197 CC,81.80bhp,113Nm
222,2017 Maruti Baleno,2017,Apr-17,Petrol,41867,1197 cc,1st Owner,DL12,Manual,Third Party insurance,590000,619500,938314,21.01 kmpl,R16,5,1197 CC,81.80bhp,113Nm
223,2017 Maruti Vitara Brezza,2017,May-17,Diesel,80132,1248 cc,1st Owner,HR76,Manual,Third Party insurance,690000,724500,1016982,24.3 kmpl,16,5,1248 CC,88.5bhp,200Nm
224,2013 Maruti Wagon R,2013,Apr-13,Petrol,30445,998 cc,1st Owner,HR51,Manual,Third Party insurance,268000,281400,567187,21.79 kmpl,5,Blue,998 CC,67.05bhp,90Nm
225,2015 Maruti Swift Dzire,2015,Apr-15,Diesel,30445,1248 cc,1st Owner,DL8C,Manual,Third Party insurance,480000,504000,921433,26.59 kmpl,15,5,1248 CC,74bhp,190Nm
226,2014 Maruti Swift,2014,Jul-14,Diesel,44828,1248 cc,1st Owner,DL2C,Manual,Third Party insurance,444000,466200,737717,25.2 kmpl,5,Silver,1248 CC,74bhp,190Nm
227,2015 Maruti Baleno,2015,Dec-15,Petrol,49192,1197 cc,1st Owner,DL8C,Manual,Third Party insurance,450000,472500,770868,21.01 kmpl,5,Other,1197 CC,81.80bhp,113Nm
228,2018 Maruti Baleno,2018,Jul-18,Petrol,18792,1197 cc,1st Owner,DL12,Manual,Third Party insurance,545000,572250,636917,21.4 kmpl,5,Blue,1197 CC,83.1bhp,115Nm
229,2015 Maruti Ciaz,2015,May-15,Diesel,58323,1248 cc,1st Owner,DL14,Manual,Third Party insurance,507500,532875,1016745,26.21 kmpl,5,Other,1248 CC,88.5bhp,200Nm
230,2018 Maruti Baleno,2018,Dec-18,Petrol,37005,1197 cc,1st Owner,HR29,Manual,Third Party insurance,551000,578550,636917,21.4 kmpl,5,White,1197 CC,83.1bhp,115Nm
231,2016 Maruti Eeco,2016,Jul-16,Petrol,95285,1196 cc,1st Owner,DL3C,Manual,Third Party insurance,289500,303975,533301,16.11 kmpl,5,White,1196 CC,72.42bhp,98Nm
232,2019 Maruti Wagon R,2019,Aug-19,Petrol,14788,998 cc,2nd Owner,DL14,Manual,Third Party insurance,460000,483000,505585,20.51 kmpl,5,Silver,998 CC,67.06bhp,90Nm
233,2015 Maruti Baleno,2015,Dec-15,Petrol,61931,1197 cc,1st Owner,HR51,Automatic,Third Party insurance,536244,563056,811585,21.4 kmpl,5,Silver,1197 CC,83.1bhp,115Nm
234,2015 Hyundai i20,2015,May-15,Diesel,61931,1396 cc,1st Owner,DL8C,Manual,Third Party insurance,460000,483000,940506,22.54 kmpl,16,5,1396 CC,88.73bhp,219.7Nm
235,2014 Honda Amaze,2014,Apr-14,Diesel,68405,1498 cc,2nd Owner,DL12,Manual,Third Party insurance,342500,359625,795208,25.8 kmpl,5,Silver,1498 CC,98.6bhp,200Nm
236,2019 Honda Amaze,2019,Oct-19,Petrol,21276,1198 cc,1st Owner,HR87,Manual,Third Party insurance,640430,672452,748569,17.8 kmpl,5,White,1198 CC,86.7bhp,109Nm
237,2015 Hyundai Xcent,2014,Jan-15,Diesel,65427,1120 cc,1st Owner,HR51,Manual,Third Party insurance,348108,365513,783707,24.4 kmpl,14,5,1120 CC,71.01bhp,180.4Nm
238,2018 Maruti Baleno,2018,May-18,Petrol,65009,1197 cc,1st Owner,DL8C,Manual,Third Party insurance,605500,635775,701952,21.4 kmpl,5,White,1197 CC,83.1bhp,115Nm
239,2020 Maruti Wagon R,2019,Feb-20,Petrol,14720,1197 cc,1st Owner,2 2022,Automatic,Automatic,551000,578550,693338,20.52 kmpl,5,White,1197 CC,81.80bhp,113Nm
240,2014 Hyundai Grand i10,2013,Jan-14,Petrol,48727,1197 cc,2nd Owner,DL2C,Manual,Third Party insurance,330000,346500,671802,18.9 kmpl,5,Grey,1197 CC,81.86bhp,113.75nm
241,2018 Maruti Baleno,2018,Jan-18,Petrol,34377,1197 cc,1st Owner,DL11,Manual,Third Party insurance,563870,592064,782606,21.01 kmpl,5,Silver,1197 CC,81.80bhp,113Nm
242,2016 Maruti Swift,2015,Jan-16,Petrol,24477,1197 cc,1st Owner,DL3C,Manual,Third Party insurance,445578,467857,702264,21.21 kmpl,5,White,1197 CC,81.80bhp,113Nm
243,2019 Maruti Alto 800,2019,Mar-19,Petrol,18504,796 cc,1st Owner,DL5C,Manual,Not Available,351500,369075,421642,24.7 kmpl,5,White,796 CC,47.3bhp,69Nm
244,2016 Hyundai i20,2016,Aug-16,Petrol,27045,1197 cc,1st Owner,HR51,Manual,Third Party insurance,576000,604800,748579,18.6 kmpl,5,Silver,1197 CC,81.83bhp,114.7Nm
245,2019 Maruti Ignis,2019,Jun-19,Petrol,9024,1197 cc,1st Owner,HR87,Manual,Third Party insurance,450000,472500,526662,20.89 kmpl,5,Silver,1197 CC,81.80bhp,113Nm
246,2016 Hyundai i20,2016,Aug-16,Petrol,28562,1197 cc,1st Owner,UP14,Manual,Third Party insurance,558000,585900,925863,21 kmpl,5,Other,1197 CC,81.86bhp,114.74nm
247,2011 Hyundai i20,2011,Dec-11,Petrol,69356,1197 cc,2nd Owner,HR26,Manual,Third Party insurance,300000,315000,547106,18.5 kmpl,14,5,1197 CC,80 PS at 5200 rpm,"11.4 kgm at 4,000 rpm"
248,2016 Maruti Vitara Brezza,2016,Apr-16,Diesel,77406,1248 cc,1st Owner,DL12,Manual,Third Party insurance,661250,694313,844464,24.3 kmpl,5,White,1248 CC,88.5bhp,200Nm
249,2016 Mahindra KUV 100,2016,Mar-16,Diesel,54476,1198 cc,2nd Owner,DL12,Manual,Third Party insurance,397000,416850,823563,25.32 kmpl,15,5,1198 CC,77bhp,190Nm
250,2014 Maruti Swift,2014,Jun-14,Diesel,79261,1248 cc,1st Owner,UP15,Manual,Third Party insurance,444211,466422,717885,22.9 kmpl,14,5,1248 CC,74bhp,190Nm
251,2018 Maruti Baleno,2018,May-18,Petrol,30903,1197 cc,1st Owner,DL2C,Manual,Not Available,672500,706125,845401,21.4 kmpl,16,5,1197 CC,83.1bhp,115Nm
252,2016 Toyota Etios Liva,2016,Jun-16,Petrol,45113,1197 cc,1st Owner,HR51,Manual,Not Available,480500,504525,588284,17.71 kmpl,5,White,1197 CC,78.9bhp,104Nm
253,2019 Hyundai Grand i10,2019,Oct-19,Petrol,6928,1197 cc,1st Owner,HR51,Manual,Third Party insurance,524000,550200,671802,18.9 kmpl,5,Silver,1197 CC,81.86bhp,113.75nm
254,2019 Hyundai i20,2019,Feb-19,Petrol,29942,1197 cc,1st Owner,DL2C,Manual,Third Party insurance,617000,647850,720061,18.6 kmpl,5,Grey,1197 CC,81.86bhp,117nm
255,2016 Hyundai i20,2016,Nov-16,Diesel,47565,1396 cc,1st Owner,DL1C,Manual,Third Party insurance,490000,514500,821506,22.54 kmpl,5,Silver,1396 CC,88.73bhp,219.7Nm
256,2015 Maruti Swift,2015,Jun-15,Diesel,47565,1248 cc,1st Owner,UP14,Manual,Third Party insurance,453300,475965,746465,25.2 kmpl,5,White,1248 CC,74bhp,190Nm
257,2018 Maruti Baleno,2018,Apr-18,Petrol,23484,1197 cc,2nd Owner,DL6C,Manual,Third Party insurance,636500,668325,838080,21.4 kmpl,16,5,1197 CC,83.1bhp,115Nm
258,2017 Hyundai i20,2016,Jan-17,Diesel,64390,1396 cc,1st Owner,DL8C,Manual,Not Available,480000,504000,813577,22.54 kmpl,5,White,1396 CC,88.73bhp,219.7Nm
259,2019 Maruti Wagon R,2019,Mar-19,Petrol,14499,998 cc,1st Owner,DL9C,Manual,Third Party insurance,470000,493500,567187,21.79 kmpl,5,Silver,998 CC,67.05bhp,90Nm
260,2019 Maruti Wagon R,2018,Feb-19,Petrol,22104,998 cc,1st Owner,HR26,Manual,Third Party insurance,424000,445200,541980,21.79 kmpl,5,Silver,998 CC,67.05bhp,90Nm
261,2016 Mahindra KUV 100,2016,May-16,Diesel,99534,1198 cc,2nd Owner,DL8C,Manual,Third Party insurance,290000,304500,686220,25.32 kmpl,6,White,1198 CC,77bhp,190Nm
262,2014 Maruti Alto K10,2013,Jan-14,Petrol,27017,998 cc,1st Owner,DL3C,Manual,Third Party insurance,285468,299741,446517,23.95 kmpl,5,White,998 CC,67.05bhp,90Nm
263,2018 Maruti Alto K10,2017,Jan-18,Petrol,18075,998 cc,2nd Owner,HR51,Manual,Third Party insurance,310000,325500,434696,23.95 kmpl,5,Silver,998 CC,67.05bhp,90Nm
264,2012 Maruti Alto K10,2012,Mar-12,Petrol,79016,998 cc,2nd Owner,UP16,Manual,Third Party insurance,212848,223490,428193,23.95 kmpl,5,Other,998 CC,67.05bhp,90Nm
265,2017 Maruti Vitara Brezza,2017,Jun-17,Diesel,71848,1248 cc,1st Owner,HR72,Manual,Third Party insurance,670000,703500,919441,24.3 kmpl,5,White,1248 CC,88.5bhp,200Nm
266,2015 Ford Ecosport,2015,Mar-15,Diesel,71848,1498 cc,1st Owner,HR26,Manual,Third Party insurance,430000,451500,1003522,21.7 kmpl,5,White,1498 CC,99.23bhp,215Nm
267,2017 Maruti Ignis,2017,Dec-17,Petrol,42389,1197 cc,1st Owner,HR26,Automatic,Third Party insurance,528500,554925,644221,20.89 kmpl,5,Silver,1197 CC,81.80bhp,113Nm
268,2017 Volkswagen Ameo,2017,Sep-17,Petrol,41665,1198 cc,2nd Owner,HR26,Manual,Third Party insurance,381500,400575,625499,17 kmpl,5,Silver,1198 CC,73.75bhp,110Nm
269,2019 Maruti Ignis,2018,May-19,Petrol,4878,1197 cc,1st Owner,HR26,Manual,Third Party insurance,505000,530250,593190,20.89 kmpl,5,Blue,1197 CC,81.80bhp,113Nm
270,2017 Maruti Swift,2017,Dec-17,Diesel,42888,1248 cc,1st Owner,HR51,Manual,Third Party insurance,500000,525000,790410,28.4 kmpl,5,Grey,1248 CC,74bhp,190Nm
271,2018 Maruti Ignis,2018,Jul-18,Petrol,39393,1197 cc,1st Owner,HR51,Manual,Third Party insurance,430000,451500,526662,20.89 kmpl,5,Grey,1197 CC,81.80bhp,113Nm
272,2018 Maruti Ciaz,2018,Aug-18,Petrol,41628,1373 cc,1st Owner,DL14,Manual,Third Party insurance,678500,712425,884547,20.73 kmpl,5,Grey,1373 CC,91.1bhp,130Nm
273,2017 Maruti Vitara Brezza,2017,Mar-17,Diesel,21355,1248 cc,1st Owner,DL3C,Manual,Third Party insurance,770000,808500,1014057,24.3 kmpl,16,5,1248 CC,88.5bhp,200Nm
274,2016 Maruti Baleno,2015,Jan-16,Petrol,58938,1197 cc,1st Owner,DL5C,Manual,Third Party insurance,490193,514703,701952,21.4 kmpl,5,Blue,1197 CC,83.1bhp,115Nm
275,2020 Maruti Alto 800,2020,Sep-20,Petrol,1067,796 cc,1st Owner,HR87,Manual,Third Party insurance,385000,404250,454712,22.05 kmpl,5,White,796 CC,47.33bhp,69Nm
276,2013 Ford Ecosport,2013,Oct-13,Diesel,70802,1498 cc,1st Owner,HR26,Manual,Third Party insurance,460000,483000,1090546,22.7 kmpl,16,5,1498 CC,89.84bhp,204Nm
277,2016 Maruti Baleno,2016,Dec-16,Petrol,44802,1197 cc,1st Owner,UP14,Automatic,Third Party insurance,531500,558075,818906,21.4 kmpl,5,Blue,1197 CC,83.1bhp,115Nm
278,2018 Maruti Baleno,2018,Dec-18,Petrol,47434,1197 cc,1st Owner,DL2C,Manual,Third Party insurance,556500,584325,770868,21.01 kmpl,5,Other,1197 CC,81.80bhp,113Nm
279,2016 Maruti Baleno,2016,Dec-16,Petrol,44802,1197 cc,1st Owner,UP14,Automatic,Third Party insurance,531500,558075,818906,21.4 kmpl,5,Blue,1197 CC,83.1bhp,115Nm
280,2018 Maruti Baleno,2018,Dec-18,Petrol,47434,1197 cc,1st Owner,DL2C,Manual,Third Party insurance,556500,584325,770868,21.01 kmpl,5,Other,1197 CC,81.80bhp,113Nm
281,2017 Hyundai i20 Active,2015,May-17,Diesel,79238,1396 cc,1st Owner,HR26,Manual,Third Party insurance,568450,596873,1013213,21.19 kmpl,16,5,1396 CC,88.73bhp,220Nm
282,2016 Maruti Swift Dzire,2015,Jan-16,Diesel,64352,1248 cc,2nd Owner,HR26,Automatic,Third Party insurance,500000,525000,967289,26.59 kmpl,15,5,1248 CC,74bhp,190Nm
283,2015 Hyundai Grand i10,2015,Jun-15,Petrol,73504,1197 cc,1st Owner,7 2021,Automatic,Manual,366500,384825,554801,18.9 kmpl,5,Other,1197 CC,82bhp,114Nm
284,2016 Maruti Ciaz,2015,Jan-16,Diesel,54217,1248 cc,1st Owner,1 2022,Automatic,Manual,550000,577500,1233072,26.21 kmpl,16,5,1248 CC,88.5bhp,200Nm
285,2016 Maruti Ciaz,2016,Jul-16,Diesel,79481,1248 cc,1st Owner,DL2C,Manual,Not Available,560000,588000,1013340,28.09 kmpl,15,5,1248 CC,88.5bhp,200Nm
286,2015 Honda City,2015,Jul-15,Petrol,64284,1497 cc,2nd Owner,DL4C,Manual,Third Party insurance,565000,593250,983215,16.8 kmpl,15,5,1497 CC,116.4bhp,146Nm
287,2018 Maruti Swift,2018,Nov-18,Petrol,28911,1197 cc,2nd Owner,HR26,Manual,Third Party insurance,502500,527625,548926,22 kmpl,5,Other,1197 CC,81.80bhp,113Nm
288,2016 Maruti Swift,2015,Jan-16,Diesel,78623,1248 cc,1st Owner,DL14,Manual,Third Party insurance,385000,404250,739378,25.2 kmpl,5,Silver,1248 CC,74bhp,190Nm
289,2021 Maruti Alto 800,2020,Jan-21,Petrol,1877,796 cc,1st Owner,HR51,Manual,Third Party insurance,371000,389550,387364,24.7 kmpl,5,Grey,796 CC,47.3bhp,69Nm
290,2012 Maruti Swift,2012,Apr-12,Petrol,56610,1197 cc,1st Owner,8 2021,Automatic,Manual,324000,340200,568357,18.6 kmpl,14,5,1197 CC,85.8bhp,114Nm
291,2020 Maruti S-Presso,2020,Mar-20,Petrol,10289,998 cc,1st Owner,3 2022,Automatic,Manual,445000,467250,533080,21.7 kmpl,5,White,998 CC,67.05bhp,90nm
292,2015 Maruti Alto K10,2015,Oct-15,Petrol,60606,998 cc,1st Owner,DL2C,Manual,Third Party insurance,279500,293475,431144,23.95 kmpl,5,White,998 CC,67.05bhp,90Nm
293,2014 Skoda Rapid,2014,Sep-14,Diesel,67574,1598 cc,1st Owner,DL6C,Manual,Third Party insurance,356000,373800,1113044,20.5 kmpl,15,5,1598 CC,103.5bhp,250Nm
294,2015 Maruti Swift,2015,Mar-15,Diesel,83833,1248 cc,2nd Owner,DL5C,Manual,Third Party insurance,423870,445064,798110,28.4 kmpl,5,White,1248 CC,74bhp,190Nm
295,2018 Hyundai i20,2018,Sep-18,Petrol,59908,1197 cc,1st Owner,UP14,Manual,Third Party insurance,644500,676725,1092123,21 kmpl,R16,5,1197 CC,81.86bhp,114.74nm
296,2014 Hyundai Xcent,2014,May-14,Diesel,59908,1120 cc,1st Owner,DL3C,Manual,Third Party insurance,327264,343627,793585,24.4 kmpl,5,White,1120 CC,71bhp,180.4Nm
297,2015 Honda Brio,2014,Jan-15,Petrol,38558,1198 cc,1st Owner,DL9C,Manual,Third Party insurance,346000,363300,652299,19.4 kmpl,14,5,1198 CC,86.8bhp,109Nm
298,2018 Maruti Swift Dzire,2018,Jun-18,Petrol,22316,1197 cc,1st Owner,DL6C,Manual,Third Party insurance,590000,619500,763121,21.21 kmpl,5,White,1197 CC,81.80bhp,113Nm
299,2019 Maruti Wagon R,2019,Dec-19,Petrol,5627,998 cc,1st Owner,DL2C,Manual,Third Party insurance,473000,496650,567187,21.79 kmpl,5,White,998 CC,67.05bhp,90Nm
300,2014 Hyundai i20,2014,Aug-14,Diesel,90555,1396 cc,1st Owner,DL8C,Manual,Not Available,320000,336000,767891,21.9 kmpl,14,5,1396 CC,88.8bhp,219.7Nm
301,2015 Maruti Ciaz,2015,Aug-15,Petrol,97767,1373 cc,2nd Owner,DL05,Automatic,Third Party insurance,558000,585900,1111924,19.12 kmpl,15,5,1373 CC,91.1bhp,130Nm
302,2019 Maruti Swift Dzire,2019,Nov-19,Petrol,26306,1197 cc,1st Owner,HR26,Manual,Third Party insurance,637000,668850,739792,22 kmpl,5,White,1197 CC,81.80bhp,113Nm
303,2016 Honda Jazz,2016,Apr-16,Petrol,58033,1199 cc,1st Owner,DL9C,Automatic,Third Party insurance,507500,532875,957918,19 kmpl,15,5,1199 CC,88.7bhp,110Nm
304,2017 Maruti Swift,2017,Mar-17,Diesel,97204,1248 cc,1st Owner,DL11,Manual,Not Available,425000,446250,715853,28.4 kmpl,5,Grey,1248 CC,74bhp,190Nm
305,2017 Hyundai i20,2017,Apr-17,Petrol,36375,1197 cc,1st Owner,DL12,Manual,Third Party insurance,562000,590100,925863,21 kmpl,5,Other,1197 CC,81.86bhp,114.74nm
306,2016 Maruti Ciaz,2016,Jul-16,Diesel,36375,1248 cc,1st Owner,DL3C,Manual,Third Party insurance,521016,547067,938671,28.09 kmpl,5,Other,1248 CC,88.5bhp,200Nm
307,2017 Maruti Alto K10,2017,Aug-17,Petrol,59523,998 cc,1st Owner,UP16,Automatic,Third Party insurance,320500,336525,496119,23.95 kmpl,5,Grey,998 CC,67.05bhp,90Nm
308,2016 Maruti Ciaz,2016,Apr-16,Diesel,55985,1248 cc,2nd Owner,DL2C,Manual,Third Party insurance,525000,551250,892396,28.09 kmpl,5,Silver,1248 CC,88.5bhp,200Nm
309,2018 Hyundai i20,2018,Apr-18,Diesel,48193,1396 cc,1st Owner,HR51,Manual,Third Party insurance,650000,682500,961683,22.54 kmpl,16,5,1396 CC,88.73bhp,219.7Nm
310,2016 Hyundai i20,2015,Jan-16,Petrol,40750,1197 cc,1st Owner,KA41,Manual,Third Party insurance,610000,640500,742655,18.6 kmpl,5,Red,1197 CC,81.83bhp,114.7Nm
